block,content,network,users,seed,MD2G_U,MD2G_Rq,MD2G_Ro,MD2G_Rb,MD2G_weak_user_Rq,strongest_same,strongest_same_U,delta_U,unicast_U
redandblack_fiber_optic_u100_s152,redandblack,fiber_optic,100,152,0.7943231879153336,0.9312499608460253,0.9896747701294489,0.07896987416429228,0.42499971067930387,CLUSTERING_COMPONENT,0.6243564221899476,0.16996676572538605,0.10810719213480946
redandblack_fiber_optic_u100_s153,redandblack,fiber_optic,100,153,0.7322089979426675,0.8259999627538269,0.9894220208400649,0.07164323279763313,0.0,CLUSTERING_COMPONENT,0.6456256726012695,0.08658332534139801,0.10577514415404192
redandblack_fiber_optic_u20_s151,redandblack,fiber_optic,20,151,0.5091834507811176,0.46499998185533536,0.9473684210526316,0.04439095730160957,0.0,CLUSTERING_COMPONENT,0.6949950783516317,-0.18581162757051406,0.36503763499131736
redandblack_fiber_optic_u20_s152,redandblack,fiber_optic,20,152,0.5120831471862486,0.4699999826062674,0.9470181139951888,0.04447580584206043,0.29999999749843875,RULE_COMPONENT,0.6921766629020492,-0.18009351571580057,0.3577610511259939
redandblack_fiber_optic_u20_s153,redandblack,fiber_optic,20,153,0.530803831798093,0.49999997997823714,0.95,0.04464104125899509,0.49999997997823714,RULE_COMPONENT,0.7377971924908518,-0.20699336069275887,0.3750256327329388
redandblack_fiber_optic_u60_s151,redandblack,fiber_optic,60,151,0.7928800814255318,0.939583318305902,0.983122327192312,0.11100327570724905,0.5500000053445943,CLUSTERING_COMPONENT,0.6773501719562475,0.11552990946928432,0.14236940092178912
redandblack_fiber_optic_u60_s152,redandblack,fiber_optic,60,152,0.7919861064407344,0.9366666463053747,0.983058532531234,0.10519009650199275,0.42499971067930387,RULE_COMPONENT,0.6830781548463984,0.10890795159433597,0.14439362324704091
redandblack_fiber_optic_u60_s153,redandblack,fiber_optic,60,153,0.7836174410539128,0.9241666458409094,0.9829731844025451,0.11083895034179325,0.5500000053445943,RULE_COMPONENT,0.6740587975407041,0.10955864351320876,0.13432841346582192
redandblack_wifi_dominant_u100_s151,redandblack,wifi_dominant,100,151,0.761994071657173,0.8767499549865885,0.9892532017055287,0.07579467840774837,0.0,CLUSTERING_COMPONENT,0.6613258165038172,0.10066825515335587,0.10811153599238693
redandblack_wifi_dominant_u100_s152,redandblack,wifi_dominant,100,152,0.7856008090196355,0.9184999880187021,0.9896002698517475,0.08599500836348416,0.29999999749843875,CLUSTERING_COMPONENT,0.6806727969816645,0.10492801203797097,0.10844507578154497
redandblack_wifi_dominant_u100_s153,redandblack,wifi_dominant,100,153,0.7857376260616182,0.9179999692172386,0.9895228069261672,0.08295371466844463,0.29999999749843875,CLUSTERING_COMPONENT,0.6688184260124117,0.11691920004920653,0.10881578269357187
redandblack_wifi_dominant_u20_s151,redandblack,wifi_dominant,20,151,0.7035141740496904,0.8087499518466111,0.9408018938703311,0.11290847017239304,0.0,RULE_COMPONENT,0.668526472952596,0.03498770109709437,0.31343780068373644
redandblack_wifi_dominant_u20_s152,redandblack,wifi_dominant,20,152,0.7377809090711718,0.8649999667963482,0.9426904863194672,0.11261128391002614,0.49999997997823714,CLUSTERING_COMPONENT,0.655723435909966,0.08205747316120582,0.33617918944832303
redandblack_wifi_dominant_u20_s153,redandblack,wifi_dominant,20,153,0.5183156118038654,0.4799999817302573,0.9480481204093006,0.044642715577427466,0.29999999749843875,RULE_COMPONENT,0.652671264333043,-0.13435565252917758,0.1957335373202257
redandblack_wifi_dominant_u60_s151,redandblack,wifi_dominant,60,151,0.7781506863791171,0.914583317449129,0.9828226514961846,0.10869977976270961,0.29999999749843875,CLUSTERING_COMPONENT,0.6778620402053038,0.10028864617381328,0.14284067337645084
redandblack_wifi_dominant_u60_s152,redandblack,wifi_dominant,60,152,0.7667775134444534,0.8966666366027397,0.9826436806773311,0.11255592457682131,0.0,CLUSTERING_COMPONENT,0.6798786753783297,0.08689883806612375,0.1247681987792628
redandblack_wifi_dominant_u60_s153,redandblack,wifi_dominant,60,153,0.7780218611996726,0.9120833179474324,0.9829823337728493,0.099824753413327,0.42499971067930387,CLUSTERING_COMPONENT,0.6912859906713448,0.08673587052832787,0.14823919332038835
redandblack_wifi_u100_s151,redandblack,wifi,100,151,0.7723822580225613,0.8962499783494426,0.9896729613579205,0.08523979551056218,0.0,CLUSTERING_COMPONENT,0.6605449838384854,0.11183727418407596,0.12146315440669059
