strategy,source,content,network,users,seed,U_Rb0,U,Rq,Ro,Rb_matched_live_md2g,decoded_completion,bandwidth_mbps_shared,p99_delay_ms,n_ticks
MCG,OFFLINE_TRACE_REPLAY,redandblack,4g,100,151,0.42999999849906323,0.41554110261743943,0.29999999749843875,1.0,0.09639263921082539,0.0,0.0,0.0,84
MCG,OFFLINE_TRACE_REPLAY,redandblack,4g,100,152,0.42999999849906323,0.41710020343230386,0.29999999749843875,1.0,0.08599863377839577,0.0,0.0,0.0,83
MCG,OFFLINE_TRACE_REPLAY,redandblack,4g,100,153,0.42999999849906323,0.4170558213149499,0.29999999749843875,1.0,0.08629451456075576,0.0,0.0,0.0,84
MCG,OFFLINE_TRACE_REPLAY,redandblack,4g,20,153,0.42999999849906323,0.42339177737983313,0.29999999749843875,1.0,0.0440548074615338,0.0,0.0,0.0,89
MCG,OFFLINE_TRACE_REPLAY,redandblack,4g,60,153,0.42999999849906323,0.41432846733146617,0.29999999749843875,1.0,0.104476874450647,0.0,0.0,0.0,85
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,100,151,0.42999999849906323,0.41655281607802297,0.29999999749843875,1.0,0.08964788280693511,0.0,0.0,0.0,82
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,100,152,0.42999999849906323,0.4181545173744194,0.29999999749843875,1.0,0.07896987416429228,0.0,0.0,0.0,84
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,100,153,0.42999999849906323,0.41925351357941826,0.29999999749843875,1.0,0.07164323279763313,0.0,0.0,0.0,82
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,20,151,0.42999999849906323,0.4233413549038218,0.29999999749843875,1.0,0.04439095730160957,0.0,0.0,0.0,89
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,20,152,0.42999999849906323,0.42332862762275414,0.29999999749843875,1.0,0.04447580584206043,0.0,0.0,0.0,89
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,20,153,0.42999999849906323,0.42330384231021395,0.29999999749843875,1.0,0.04464104125899509,0.0,0.0,0.0,89
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,60,151,0.42999999849906323,0.41334950714297586,0.29999999749843875,1.0,0.11100327570724905,0.0,0.0,0.0,87
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,60,152,0.42999999849906323,0.4142214840237643,0.29999999749843875,1.0,0.10519009650199275,0.0,0.0,0.0,86
MCG,OFFLINE_TRACE_REPLAY,redandblack,fiber_optic,60,153,0.42999999849906323,0.41337415594779425,0.29999999749843875,1.0,0.11083895034179325,0.0,0.0,0.0,87
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,100,151,0.42999999849906323,0.4172140291724789,0.29999999749843875,1.0,0.08523979551056218,0.0,0.0,0.0,83
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,100,152,0.42999999849906323,0.41607174296650484,0.29999999749843875,1.0,0.09285503688372274,0.0,0.0,0.0,86
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,100,153,0.42999999849906323,0.4159180566182778,0.29999999749843875,1.0,0.09387961253856969,0.0,0.0,0.0,82
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,20,151,0.42999999849906323,0.42334809813358787,0.29999999749843875,1.0,0.04434600243650246,0.0,0.0,0.0,89
